arrSize,subArrSize,min,max,mean,stdev
81000,100,12409.000000,13462.000000,12696.000000,139.674622
82000,100,12501.000000,14008.000000,12846.000000,184.358347
83000,100,12711.000000,14184.000000,13006.000000,177.144009
84000,100,12799.000000,14155.000000,13085.000000,160.763802
85000,100,12949.000000,14704.000000,13351.000000,255.522993
86000,100,13043.000000,14163.000000,13556.000000,162.677595
87000,100,13374.000000,14253.000000,13696.000000,142.028166
88000,100,13344.000000,14731.000000,13794.000000,199.654702
89000,100,13580.000000,14730.000000,13928.000000,164.802913
90000,100,13670.000000,15708.000000,14073.000000,208.312266
91000,100,13993.000000,15573.000000,14367.000000,194.882016
92000,100,14127.000000,16214.000000,14516.000000,309.901597
93000,100,14462.000000,16256.000000,14772.000000,206.513922
94000,100,14458.000000,16428.000000,14803.000000,235.282809
95000,100,14635.000000,16336.000000,15023.000000,204.039212
96000,100,14830.000000,16652.000000,15220.000000,202.299283
97000,100,15059.000000,16784.000000,15455.000000,199.764862
98000,100,15323.000000,17430.000000,15666.000000,234.064094
99000,100,15436.000000,17846.000000,15831.000000,256.370825
100000,100,15724.000000,17886.000000,16023.000000,244.616026
100000,100,15599.000000,17969.000000,16056.000000,297.023568
arrSize,subArrSize,min,max,mean,stdev
1000,100,95.000000,2811.000000,166.000000,293.163777
2000,100,200.000000,500.000000,321.000000,100.861291
3000,100,425.000000,612.000000,533.000000,27.202941
4000,100,621.000000,766.000000,656.000000,32.924155
5000,100,734.000000,979.000000,830.000000,37.549967
6000,100,846.000000,1040.000000,892.000000,41.060930
7000,100,1035.000000,1226.000000,1097.000000,29.732137
8000,100,1059.000000,1367.000000,1175.000000,88.130585
9000,100,1294.000000,1466.000000,1335.000000,27.712813
10000,100,1352.000000,1680.000000,1469.000000,67.096945
11000,100,1445.000000,1769.000000,1561.000000,41.388404
12000,100,1659.000000,1851.000000,1703.000000,30.935417
13000,100,1861.000000,2116.000000,1918.000000,41.303753
14000,100,1819.000000,2251.000000,2022.000000,101.252160
15000,100,2026.000000,2311.000000,2076.000000,37.802116
16000,100,2200.000000,2461.000000,2268.000000,47.265209
17000,100,2204.000000,2711.000000,2393.000000,101.503695
18000,100,2407.000000,2721.000000,2465.000000,41.231056
19000,100,2469.000000,3013.000000,2599.000000,87.097646
20000,100,2632.000000,2967.000000,2740.000000,58.455111
21000,100,2843.000000,3161.000000,2904.000000,42.673177
22000,100,2852.000000,3358.000000,3036.000000,94.551573
23000,100,3018.000000,3547.000000,3136.000000,55.181519
24000,100,3261.000000,3638.000000,3318.000000,43.863424
25000,100,3411.000000,3844.000000,3496.000000,48.528342
26000,100,3393.000000,3929.000000,3601.000000,91.071401
27000,100,3561.000000,4061.000000,3691.000000,68.651293
28000,100,3766.000000,4144.000000,3854.000000,49.446941
29000,100,3920.000000,4492.000000,4018.000000,66.121101
30000,100,3925.000000,4384.000000,4148.000000,113.639782
31000,100,4138.000000,4756.000000,4243.000000,70.554943
32000,100,4349.000000,4725.000000,4468.000000,67.282984
33000,100,4513.000000,5380.000000,4617.000000,92.119488
34000,100,4639.000000,5387.000000,4778.000000,84.923495
